,2 Yr,20 Yr,Month,Day,Year
91,4.5,4.03,6,2,2023
92,4.33,3.98,6,1,2023
93,4.4,4.01,5,31,2023
94,4.46,4.06,5,30,2023
95,4.54,4.13,5,26,2023
96,4.5,4.16,5,25,2023
97,4.31,4.1,5,24,2023
98,4.26,4.08,5,23,2023
99,4.29,4.09,5,22,2023
100,4.28,4.07,5,19,2023
101,4.24,4.02,5,18,2023
102,4.12,3.96,5,17,2023
103,4.06,3.96,5,16,2023
104,3.99,3.92,5,15,2023
105,3.98,3.87,5,12,2023
106,3.89,3.82,5,11,2023
107,3.9,3.88,5,10,2023
108,4.01,3.94,5,9,2023
109,4.0,3.92,5,8,2023
110,3.92,3.85,5,5,2023
111,3.75,3.8,5,4,2023
112,3.89,3.79,5,3,2023
113,3.97,3.82,5,2,2023
114,4.14,3.95,5,1,2023
115,4.04,3.8,4,28,2023
116,4.07,3.88,4,27,2023
117,3.9,3.81,4,26,2023
118,3.86,3.77,4,25,2023
119,4.12,3.85,4,24,2023
120,4.17,3.9,4,21,2023
121,4.14,3.87,4,20,2023
122,4.24,3.9,4,19,2023
123,4.19,3.91,4,18,2023
124,4.18,3.92,4,17,2023
125,4.08,3.85,4,14,2023
126,3.96,3.8,4,13,2023
127,3.95,3.75,4,12,2023
128,4.03,3.75,4,11,2023
129,4.0,3.74,4,10,2023
130,3.97,3.73,4,7,2023
131,3.82,3.66,4,6,2023
132,3.79,3.67,4,5,2023
133,3.84,3.72,4,4,2023
134,3.97,3.78,4,3,2023
135,4.06,3.81,3,31,2023
136,4.1,3.88,3,30,2023
137,4.08,3.91,3,29,2023
138,4.02,3.9,3,28,2023
139,3.94,3.9,3,27,2023
140,3.76,3.77,3,24,2023
141,3.76,3.78,3,23,2023
142,3.96,3.83,3,22,2023
143,4.17,3.9,3,21,2023
144,3.92,3.83,3,20,2023
145,3.81,3.76,3,17,2023
146,4.14,3.87,3,16,2023
147,3.93,3.82,3,15,2023
148,4.2,3.91,3,14,2023
149,4.03,3.85,3,13,2023
150,4.6,3.9,3,10,2023
151,4.9,4.09,3,9,2023
152,5.05,4.11,3,8,2023
153,5.0,4.11,3,7,2023
154,4.89,4.14,3,6,2023
155,4.86,4.12,3,3,2023
156,4.89,4.24,3,2,2023
157,4.89,4.17,3,1,2023
158,4.81,4.1,2,28,2023
159,4.78,4.11,2,27,2023
160,4.78,4.11,2,24,2023
161,4.66,4.04,2,23,2023
162,4.66,4.09,2,22,2023
163,4.67,4.12,2,21,2023
164,4.6,4.01,2,17,2023
165,4.62,4.05,2,16,2023
166,4.62,3.97,2,15,2023
167,4.6,3.94,2,14,2023
168,4.52,3.92,2,13,2023
169,4.5,3.96,2,10,2023
170,4.48,3.9,2,9,2023
171,4.45,3.86,2,8,2023
172,4.47,3.87,2,7,2023
173,4.44,3.82,2,6,2023
174,4.3,3.77,2,3,2023
175,4.09,3.67,2,2,2023
176,4.09,3.67,2,1,2023
177,4.21,3.78,1,31,2023
178,4.25,3.79,1,30,2023
179,4.19,3.77,1,27,2023
180,4.17,3.75,1,26,2023
181,4.11,3.74,1,25,2023
182,4.12,3.73,1,24,2023
183,4.21,3.8,1,23,2023
184,4.14,3.77,1,20,2023
185,4.09,3.69,1,19,2023
186,4.06,3.65,1,18,2023
187,4.18,3.81,1,17,2023
188,4.22,3.79,1,13,2023
189,4.12,3.73,1,12,2023
190,4.2,3.84,1,11,2023
191,4.24,3.91,1,10,2023
192,4.19,3.83,1,9,2023
193,4.24,3.84,1,6,2023
194,4.45,3.96,1,5,2023
195,4.36,3.97,1,4,2023
196,4.4,4.06,1,3,2023
0,4.41,4.14,12,30,2022
1,4.34,4.09,12,29,2022
2,4.31,4.13,12,28,2022
3,4.32,4.1,12,27,2022
4,4.31,3.99,12,23,2022
5,4.24,3.91,12,22,2022
6,4.21,3.93,12,21,2022
7,4.25,3.94,12,20,2022
8,4.25,3.82,12,19,2022
9,4.17,3.73,12,16,2022
10,4.23,3.69,12,15,2022
11,4.23,3.74,12,14,2022
12,4.22,3.74,12,13,2022
13,4.39,3.84,12,12,2022
14,4.33,3.82,12,9,2022
15,4.31,3.71,12,8,2022
16,4.26,3.66,12,7,2022
17,4.34,3.77,12,6,2022
18,4.41,3.84,12,5,2022
19,4.28,3.79,12,2,2022
20,4.25,3.85,12,1,2022
21,4.38,4.0,11,30,2022
22,4.48,4.02,11,29,2022
23,4.46,3.97,11,28,2022
24,4.42,3.97,11,25,2022
25,4.46,3.97,11,23,2022
26,4.47,4.05,11,22,2022
27,4.48,4.14,11,21,2022
28,4.51,4.13,11,18,2022
29,4.43,4.1,11,17,2022
30,4.35,4.03,11,16,2022
31,4.37,4.2,11,15,2022
32,4.4,4.28,11,14,2022
33,4.34,4.24,11,10,2022
34,4.61,4.5,11,9,2022
35,4.67,4.47,11,8,2022
36,4.72,4.55,11,7,2022
37,4.66,4.49,11,4,2022
38,4.71,4.42,11,3,2022
39,4.61,4.41,11,2,2022
40,4.54,4.37,11,1,2022
41,4.51,4.44,10,31,2022
42,4.41,4.38,10,28,2022
43,4.3,4.32,10,27,2022
44,4.39,4.38,10,26,2022
45,4.42,4.45,10,25,2022
46,4.5,4.59,10,24,2022
47,4.49,4.54,10,21,2022
48,4.62,4.47,10,20,2022
49,4.55,4.38,10,19,2022
50,4.43,4.27,10,18,2022
51,4.45,4.29,10,17,2022
52,4.48,4.26,10,14,2022
53,4.47,4.25,10,13,2022
54,4.28,4.18,10,12,2022
55,4.3,4.19,10,11,2022
56,4.3,4.13,10,7,2022
57,4.23,4.08,10,6,2022
58,4.15,4.05,10,5,2022
59,4.1,3.95,10,4,2022
60,4.12,4.0,10,3,2022
61,4.22,4.08,9,30,2022
62,4.16,4.0,9,29,2022
63,4.07,3.98,9,28,2022
64,4.3,4.15,9,27,2022
65,4.27,4.01,9,26,2022
66,4.2,3.87,9,23,2022
67,4.11,3.9,9,22,2022
68,4.02,3.73,9,21,2022
69,3.96,3.83,9,20,2022
70,3.95,3.77,9,19,2022
71,3.85,3.79,9,16,2022
72,3.87,3.75,9,15,2022
73,3.78,3.73,9,14,2022
74,3.75,3.75,9,13,2022
75,3.58,3.76,9,12,2022
76,3.56,3.71,9,9,2022
77,3.48,3.69,9,8,2022
78,3.45,3.67,9,7,2022
79,3.5,3.74,9,6,2022
80,3.4,3.61,9,2,2022
81,3.51,3.64,9,1,2022
82,3.45,3.53,8,31,2022
83,3.46,3.49,8,30,2022
84,3.42,3.5,8,29,2022
85,3.37,3.44,8,26,2022
86,3.35,3.47,8,25,2022
87,3.36,3.55,8,24,2022
88,3.29,3.49,8,23,2022
89,3.32,3.48,8,22,2022
90,3.25,3.44,8,19,2022
91,3.22,3.35,8,18,2022
92,3.28,3.37,8,17,2022
93,3.25,3.31,8,16,2022
94,3.2,3.31,8,15,2022
95,3.25,3.34,8,12,2022
96,3.23,3.38,8,11,2022
97,3.23,3.27,8,10,2022
98,3.28,3.24,8,9,2022
99,3.21,3.22,8,8,2022
100,3.24,3.27,8,5,2022
101,3.03,3.15,8,4,2022
102,3.1,3.17,8,3,2022
103,3.06,3.22,8,2,2022
104,2.9,3.12,8,1,2022
105,2.89,3.2,7,29,2022
106,2.85,3.23,7,28,2022
107,2.96,3.26,7,27,2022
108,3.02,3.27,7,26,2022
109,3.0,3.28,7,25,2022
110,2.98,3.23,7,22,2022
111,3.1,3.33,7,21,2022
112,3.25,3.43,7,20,2022
113,3.23,3.42,7,19,2022
114,3.15,3.39,7,18,2022
115,3.13,3.34,7,15,2022
116,3.15,3.36,7,14,2022
117,3.13,3.35,7,13,2022
118,3.03,3.37,7,12,2022
119,3.07,3.43,7,11,2022
120,3.12,3.53,7,8,2022
121,3.03,3.45,7,7,2022
122,2.97,3.42,7,6,2022
123,2.82,3.31,7,5,2022
124,2.84,3.35,7,1,2022
125,2.92,3.38,6,30,2022
126,3.06,3.46,6,29,2022
127,3.1,3.55,6,28,2022
128,3.08,3.56,6,27,2022
129,3.04,3.51,6,24,2022
130,3.01,3.45,6,23,2022
131,3.06,3.49,6,22,2022
132,3.21,3.63,6,21,2022
133,3.17,3.55,6,17,2022
134,3.14,3.59,6,16,2022
135,3.2,3.64,6,15,2022
136,3.45,3.72,6,14,2022
137,3.4,3.68,6,13,2022
138,3.06,3.45,6,10,2022
139,2.83,3.4,6,9,2022
140,2.78,3.4,6,8,2022
141,2.75,3.35,6,7,2022
142,2.73,3.41,6,6,2022
143,2.66,3.33,6,3,2022
144,2.65,3.3,6,2,2022
145,2.66,3.31,6,1,2022
146,2.53,3.28,5,31,2022
147,2.47,3.16,5,27,2022
148,2.46,3.18,5,26,2022
149,2.48,3.14,5,25,2022
150,2.5,3.16,5,24,2022
151,2.65,3.26,5,23,2022
152,2.6,3.17,5,20,2022
153,2.63,3.24,5,19,2022
154,2.68,3.24,5,18,2022
155,2.71,3.36,5,17,2022
156,2.58,3.3,5,16,2022
157,2.61,3.32,5,13,2022
158,2.56,3.22,5,12,2022
159,2.66,3.25,5,11,2022
160,2.62,3.31,5,10,2022
161,2.61,3.38,5,9,2022
162,2.72,3.43,5,6,2022
163,2.71,3.35,5,5,2022
164,2.66,3.21,5,4,2022
165,2.78,3.21,5,3,2022
166,2.73,3.26,5,2,2022
167,2.7,3.14,4,29,2022
168,2.63,3.1,4,28,2022
169,2.58,3.08,4,27,2022
170,2.54,3.03,4,26,2022
171,2.63,3.06,4,25,2022
172,2.72,3.14,4,22,2022
173,2.68,3.12,4,21,2022
174,2.6,3.08,4,20,2022
175,2.61,3.19,4,19,2022
176,2.46,3.12,4,18,2022
177,2.47,3.09,4,14,2022
178,2.37,2.97,4,13,2022
179,2.39,2.99,4,12,2022
180,2.5,3.02,4,11,2022
181,2.53,2.94,4,8,2022
182,2.47,2.87,4,7,2022
183,2.5,2.81,4,6,2022
184,2.51,2.74,4,5,2022
185,2.43,2.64,4,4,2022
186,2.44,2.6,4,1,2022
187,2.28,2.59,3,31,2022
188,2.31,2.63,3,30,2022
189,2.35,2.68,3,29,2022
190,2.35,2.72,3,28,2022
191,2.3,2.74,3,25,2022
192,2.13,2.63,3,24,2022
193,2.13,2.65,3,23,2022
194,2.18,2.71,3,22,2022
195,2.14,2.67,3,21,2022
196,1.97,2.53,3,18,2022
197,1.94,2.6,3,17,2022
198,1.95,2.56,3,16,2022
199,1.85,2.57,3,15,2022
200,1.87,2.56,3,14,2022
201,1.75,2.45,3,11,2022
202,1.72,2.45,3,10,2022
203,1.68,2.38,3,9,2022
204,1.63,2.34,3,8,2022
205,1.55,2.29,3,7,2022
206,1.5,2.23,3,4,2022
207,1.53,2.32,3,3,2022
208,1.5,2.32,3,2,2022
209,1.31,2.19,3,1,2022
210,1.44,2.25,2,28,2022
211,1.55,2.37,2,25,2022
212,1.54,2.36,2,24,2022
213,1.58,2.36,2,23,2022
214,1.56,2.31,2,22,2022
215,1.47,2.3,2,18,2022
216,1.49,2.35,2,17,2022
217,1.52,2.39,2,16,2022
218,1.58,2.42,2,15,2022
219,1.58,2.35,2,14,2022
220,1.5,2.3,2,11,2022
221,1.61,2.37,2,10,2022
222,1.36,2.31,2,9,2022
223,1.35,2.31,2,8,2022
224,1.3,2.28,2,7,2022
225,1.31,2.29,2,4,2022
226,1.19,2.2,2,3,2022
227,1.16,2.17,2,2,2022
228,1.18,2.19,2,1,2022
229,1.18,2.17,1,31,2022
230,1.15,2.14,1,28,2022
231,1.18,2.17,1,27,2022
232,1.13,2.22,1,26,2022
233,1.02,2.18,1,25,2022
234,0.99,2.15,1,24,2022
235,1.01,2.13,1,21,2022
236,1.08,2.19,1,20,2022
237,1.04,2.2,1,19,2022
238,1.06,2.24,1,18,2022
239,0.99,2.18,1,14,2022
240,0.91,2.1,1,13,2022
241,0.92,2.13,1,12,2022
242,0.9,2.13,1,11,2022
243,0.92,2.15,1,10,2022
244,0.87,2.15,1,7,2022
245,0.88,2.12,1,6,2022
246,0.83,2.12,1,5,2022
247,0.77,2.1,1,4,2022
248,0.78,2.05,1,3,2022
0,0.73,1.94,12,31,2021
1,0.73,1.97,12,30,2021
2,0.75,2.0,12,29,2021
3,0.74,1.94,12,28,2021
4,0.76,1.92,12,27,2021
5,0.71,1.94,12,23,2021
6,0.68,1.89,12,22,2021
7,0.7,1.92,12,21,2021
8,0.65,1.9,12,20,2021
9,0.66,1.87,12,17,2021
10,0.64,1.91,12,16,2021
11,0.69,1.91,12,15,2021
12,0.67,1.87,12,14,2021
13,0.66,1.86,12,13,2021
14,0.67,1.91,12,10,2021
15,0.7,1.91,12,9,2021
16,0.68,1.93,12,8,2021
17,0.7,1.88,12,7,2021
18,0.65,1.84,12,6,2021
19,0.6,1.77,12,3,2021
20,0.63,1.87,12,2,2021
21,0.56,1.84,12,1,2021
22,0.52,1.85,11,30,2021
23,0.51,1.93,11,29,2021
24,0.5,1.89,11,26,2021
25,0.64,2.03,11,24,2021
26,0.6,2.08,11,23,2021
27,0.63,2.03,11,22,2021
28,0.52,1.95,11,19,2021
29,0.52,2.01,11,18,2021
30,0.52,2.04,11,17,2021
31,0.54,2.06,11,16,2021
32,0.53,2.05,11,15,2021
33,0.53,1.99,11,12,2021
34,0.51,1.96,11,10,2021
35,0.41,1.86,11,9,2021
36,0.45,1.91,11,8,2021
37,0.39,1.88,11,5,2021
38,0.41,1.96,11,4,2021
39,0.47,2.01,11,3,2021
40,0.46,1.97,11,2,2021
41,0.5,2.01,11,1,2021
42,0.48,1.98,10,29,2021
43,0.5,1.98,10,28,2021
44,0.5,1.93,10,27,2021
45,0.47,2.03,10,26,2021
46,0.47,2.07,10,25,2021
47,0.48,2.06,10,22,2021
48,0.45,2.1,10,21,2021
49,0.4,2.09,10,20,2021
50,0.41,2.07,10,19,2021
51,0.44,1.99,10,18,2021
52,0.41,2.02,10,15,2021
53,0.36,1.97,10,14,2021
54,0.37,2.0,10,13,2021
55,0.35,2.05,10,12,2021
56,0.32,2.11,10,8,2021
57,0.32,2.08,10,7,2021
58,0.3,2.02,10,6,2021
59,0.28,2.04,10,5,2021
60,0.27,1.99,10,4,2021
61,0.27,1.99,10,1,2021
62,0.28,2.02,9,30,2021
63,0.3,2.04,9,29,2021
64,0.31,2.02,9,28,2021
65,0.31,1.95,9,27,2021
66,0.29,1.94,9,24,2021
67,0.27,1.87,9,23,2021
68,0.25,1.78,9,22,2021
69,0.22,1.81,9,21,2021
70,0.23,1.79,9,20,2021
71,0.23,1.85,9,17,2021
72,0.23,1.83,9,16,2021
73,0.21,1.8,9,15,2021
74,0.21,1.78,9,14,2021
75,0.21,1.83,9,13,2021
76,0.23,1.86,9,10,2021
77,0.23,1.83,9,9,2021
78,0.22,1.88,9,8,2021
79,0.22,1.91,9,7,2021
80,0.21,1.87,9,3,2021
81,0.2,1.83,9,2,2021
82,0.2,1.84,9,1,2021
83,0.2,1.85,8,31,2021
84,0.2,1.82,8,30,2021
85,0.22,1.84,8,27,2021
86,0.25,1.87,8,26,2021
87,0.23,1.88,8,25,2021
88,0.24,1.83,8,24,2021
89,0.23,1.79,8,23,2021
90,0.23,1.79,8,20,2021
91,0.22,1.8,8,19,2021
92,0.23,1.84,8,18,2021
93,0.23,1.82,8,17,2021
94,0.21,1.82,8,16,2021
95,0.23,1.85,8,13,2021
96,0.23,1.92,8,12,2021
97,0.23,1.9,8,11,2021
98,0.24,1.9,8,10,2021
99,0.23,1.87,8,9,2021
100,0.21,1.85,8,6,2021
101,0.21,1.77,8,5,2021
102,0.17,1.74,8,4,2021
103,0.17,1.76,8,3,2021
104,0.17,1.77,8,2,2021
105,0.19,1.81,7,30,2021
106,0.2,1.84,7,29,2021
107,0.2,1.83,7,28,2021
108,0.2,1.81,7,27,2021
109,0.22,1.85,7,26,2021
110,0.22,1.85,7,23,2021
111,0.2,1.82,7,22,2021
112,0.22,1.87,7,21,2021
113,0.2,1.79,7,20,2021
114,0.21,1.74,7,19,2021
115,0.25,1.86,7,16,2021
116,0.23,1.85,7,15,2021
117,0.23,1.91,7,14,2021
118,0.26,1.96,7,13,2021
119,0.23,1.93,7,12,2021
120,0.23,1.91,7,9,2021
121,0.19,1.84,7,8,2021
122,0.22,1.87,7,7,2021
123,0.22,1.92,7,6,2021
124,0.24,1.98,7,2,2021
125,0.25,2.01,7,1,2021
126,0.25,2.0,6,30,2021
127,0.27,2.03,6,29,2021
128,0.25,2.04,6,28,2021
129,0.28,2.09,6,25,2021
130,0.26,2.03,6,24,2021
131,0.26,2.04,6,23,2021
132,0.25,2.03,6,22,2021
133,0.27,2.05,6,21,2021
134,0.26,1.97,6,18,2021
135,0.23,2.05,6,17,2021
136,0.21,2.13,6,16,2021
137,0.16,2.12,6,15,2021
138,0.16,2.12,6,14,2021
139,0.16,2.08,6,11,2021
140,0.14,2.07,6,10,2021
141,0.16,2.1,6,9,2021
142,0.14,2.13,6,8,2021
143,0.16,2.17,6,7,2021
144,0.14,2.16,6,4,2021
145,0.16,2.22,6,3,2021
146,0.13,2.21,6,2,2021
147,0.16,2.22,6,1,2021
148,0.14,2.18,5,28,2021
149,0.14,2.2,5,27,2021
150,0.14,2.17,5,26,2021
151,0.15,2.16,5,25,2021
152,0.15,2.22,5,24,2021
153,0.17,2.24,5,21,2021
154,0.15,2.25,5,20,2021
155,0.16,2.3,5,19,2021
156,0.16,2.27,5,18,2021
157,0.16,2.27,5,17,2021
158,0.16,2.25,5,14,2021
159,0.16,2.28,5,13,2021
160,0.16,2.29,5,12,2021
161,0.16,2.23,5,11,2021
162,0.16,2.2,5,10,2021
163,0.14,2.17,5,7,2021
164,0.16,2.14,5,6,2021
165,0.16,2.14,5,5,2021
166,0.16,2.16,5,4,2021
167,0.16,2.18,5,3,2021
168,0.16,2.19,4,30,2021
169,0.16,2.2,4,29,2021
170,0.17,2.19,4,28,2021
171,0.17,2.18,4,27,2021
172,0.18,2.13,4,26,2021
173,0.16,2.14,4,23,2021
174,0.16,2.13,4,22,2021
175,0.15,2.16,4,21,2021
176,0.15,2.16,4,20,2021
177,0.16,2.18,4,19,2021
178,0.16,2.15,4,16,2021
179,0.16,2.13,4,15,2021
180,0.16,2.22,4,14,2021
181,0.16,2.21,4,13,2021
182,0.18,2.24,4,12,2021
183,0.16,2.23,4,9,2021
184,0.14,2.22,4,8,2021
185,0.16,2.26,4,7,2021
186,0.16,2.24,4,6,2021
187,0.17,2.28,4,5,2021
188,0.19,2.27,4,2,2021
189,0.17,2.24,4,1,2021
190,0.16,2.31,3,31,2021
191,0.16,2.29,3,30,2021
192,0.14,2.32,3,29,2021
193,0.14,2.27,3,26,2021
194,0.14,2.24,3,25,2021
195,0.14,2.21,3,24,2021
196,0.15,2.24,3,23,2021
197,0.15,2.29,3,22,2021
198,0.16,2.36,3,19,2021
199,0.16,2.36,3,18,2021
200,0.13,2.32,3,17,2021
201,0.15,2.3,3,16,2021
202,0.14,2.27,3,15,2021
203,0.14,2.31,3,12,2021
204,0.14,2.18,3,11,2021
205,0.16,2.15,3,10,2021
206,0.17,2.16,3,9,2021
207,0.17,2.2,3,8,2021
208,0.14,2.18,3,5,2021
209,0.14,2.18,3,4,2021
210,0.14,2.12,3,3,2021
211,0.13,2.09,3,2,2021
212,0.13,2.11,3,1,2021
213,0.14,2.08,2,26,2021
214,0.17,2.25,2,25,2021
215,0.12,2.07,2,24,2021
216,0.11,2.03,2,23,2021
217,0.11,2.02,2,22,2021
218,0.11,1.98,2,19,2021
219,0.11,1.91,2,18,2021
220,0.11,1.92,2,17,2021
221,0.13,1.92,2,16,2021
222,0.11,1.83,2,12,2021
223,0.11,1.77,2,11,2021
224,0.11,1.75,2,10,2021
225,0.11,1.78,2,9,2021
226,0.11,1.78,2,8,2021
227,0.09,1.79,2,5,2021
228,0.11,1.75,2,4,2021
229,0.11,1.73,2,3,2021
230,0.11,1.69,2,2,2021
231,0.11,1.66,2,1,2021
232,0.11,1.68,1,29,2021
233,0.12,1.63,1,28,2021
234,0.12,1.6,1,27,2021
235,0.11,1.61,1,26,2021
236,0.13,1.61,1,25,2021
237,0.13,1.66,1,22,2021
238,0.13,1.68,1,21,2021
239,0.13,1.65,1,20,2021
240,0.14,1.65,1,19,2021
241,0.13,1.66,1,15,2021
242,0.16,1.69,1,14,2021
243,0.14,1.63,1,13,2021
244,0.14,1.68,1,12,2021
245,0.14,1.68,1,11,2021
246,0.14,1.67,1,8,2021
247,0.14,1.64,1,7,2021
248,0.14,1.6,1,6,2021
249,0.13,1.49,1,5,2021
250,0.11,1.46,1,4,2021
251,0.13,1.45,12,31,2020
252,0.12,1.46,12,30,2020
253,0.12,1.47,12,29,2020
254,0.13,1.46,12,28,2020
255,0.13,1.46,12,24,2020
256,0.13,1.49,12,23,2020
257,0.13,1.45,12,22,2020
258,0.13,1.48,12,21,2020
259,0.13,1.49,12,18,2020
260,0.13,1.47,12,17,2020
261,0.13,1.46,12,16,2020
262,0.11,1.45,12,15,2020
263,0.13,1.43,12,14,2020
264,0.11,1.42,12,11,2020
265,0.14,1.44,12,10,2020
266,0.16,1.48,12,9,2020
267,0.14,1.46,12,8,2020
268,0.14,1.49,12,7,2020
269,0.16,1.53,12,4,2020
270,0.16,1.46,12,3,2020
271,0.16,1.5,12,2,2020
272,0.17,1.46,12,1,2020
273,0.16,1.37,11,30,2020
274,0.16,1.36,11,27,2020
275,0.17,1.41,11,25,2020
276,0.16,1.4,11,24,2020
277,0.16,1.36,11,23,2020
278,0.16,1.33,11,20,2020
279,0.18,1.38,11,19,2020
280,0.16,1.42,11,18,2020
281,0.18,1.4,11,17,2020
282,0.19,1.44,11,16,2020
283,0.17,1.43,11,13,2020
284,0.17,1.42,11,12,2020
285,0.19,1.53,11,10,2020
286,0.17,1.51,11,9,2020
287,0.16,1.37,11,6,2020
288,0.14,1.32,11,5,2020
289,0.14,1.33,11,4,2020
290,0.17,1.44,11,3,2020
291,0.16,1.41,11,2,2020
292,0.14,1.43,10,30,2020
293,0.16,1.39,10,29,2020
294,0.16,1.34,10,28,2020
295,0.16,1.34,10,27,2020
296,0.16,1.37,10,26,2020
297,0.18,1.41,10,23,2020
298,0.16,1.43,10,22,2020
299,0.14,1.4,10,21,2020
300,0.14,1.37,10,20,2020
301,0.16,1.32,10,19,2020
302,0.14,1.3,10,16,2020
303,0.14,1.29,10,15,2020
304,0.14,1.28,10,14,2020
305,0.16,1.29,10,13,2020
306,0.16,1.34,10,9,2020
307,0.13,1.34,10,8,2020
308,0.16,1.37,10,7,2020
309,0.14,1.33,10,6,2020
310,0.14,1.34,10,5,2020
311,0.13,1.25,10,2,2020
312,0.14,1.23,10,1,2020
313,0.13,1.23,9,30,2020
314,0.11,1.19,9,29,2020
315,0.14,1.2,9,28,2020
316,0.12,1.19,9,25,2020
317,0.14,1.19,9,24,2020
318,0.14,1.21,9,23,2020
319,0.13,1.21,9,22,2020
320,0.14,1.22,9,21,2020
321,0.14,1.24,9,18,2020
322,0.13,1.22,9,17,2020
323,0.14,1.23,9,16,2020
324,0.14,1.21,9,15,2020
325,0.14,1.21,9,14,2020
326,0.13,1.21,9,11,2020
327,0.14,1.22,9,10,2020
328,0.14,1.25,9,9,2020
329,0.14,1.22,9,8,2020
330,0.14,1.25,9,4,2020
331,0.13,1.13,9,3,2020
332,0.14,1.16,9,2,2020
333,0.13,1.2,9,1,2020
334,0.14,1.26,8,31,2020
335,0.14,1.29,8,28,2020
336,0.16,1.28,8,27,2020
337,0.16,1.2,8,26,2020
338,0.15,1.18,8,25,2020
339,0.14,1.14,8,24,2020
340,0.16,1.13,8,21,2020
341,0.13,1.15,8,20,2020
342,0.14,1.2,8,19,2020
343,0.14,1.16,8,18,2020
344,0.14,1.19,8,17,2020
345,0.14,1.21,8,14,2020
346,0.16,1.2,8,13,2020
347,0.16,1.15,8,12,2020
348,0.16,1.1,8,11,2020
349,0.14,1.04,8,10,2020
350,0.13,1.01,8,7,2020
351,0.11,0.98,8,6,2020
352,0.11,1.0,8,5,2020
353,0.11,0.96,8,4,2020
354,0.11,1.01,8,3,2020
355,0.11,0.98,7,31,2020
356,0.11,0.98,7,30,2020
357,0.12,1.03,7,29,2020
358,0.14,1.01,7,28,2020
359,0.15,1.05,7,27,2020
360,0.14,1.03,7,24,2020
361,0.16,1.03,7,23,2020
362,0.14,1.08,7,22,2020
363,0.14,1.09,7,21,2020
364,0.16,1.1,7,20,2020
365,0.14,1.11,7,17,2020
366,0.16,1.09,7,16,2020
367,0.16,1.11,7,15,2020
368,0.14,1.09,7,14,2020
369,0.16,1.11,7,13,2020
370,0.16,1.12,7,10,2020
371,0.16,1.09,7,9,2020
372,0.16,1.16,7,8,2020
373,0.16,1.15,7,7,2020
